FCO,Roma Fiumicino;
LGK,Londra Gatwick;
ATH,Atene Eleftherios;
MAD,Madrid Barajas;
ZRH,Zurigo;
MUC,Monaco di Baviera;
RIX,Riga;
LIN,Milano Linate;
TIA,Tirana Rinas;
TRN,Torino Caselle;
MXP,Milano Malpensa;
HAM,Amburgo Fuhlsbuettel;
CGN,Colonia Bonn;
BVA,Parigi Beauvais;
CTA,Catania Fontanarossa;
OLB,Olbia Costa Smeralda;
BLQ,Bologna Borgo Panigale;
AMS,Amsterdam Schiphol;
IST,Istanbul Ataturk;
VCE,Venezia Tessera;
BCN,Barcelona El Prat;
BBU,Bucarest Baneasa;
BUD,Budapest Ferihegy;
PRG,Praga Ruzyne;
SOF,Sofia;
WAW,Varsavia Chopin;
VIE,Vienna Schwechat;